2026-07-12 01:12:35,077 | INFO | MamaAI | [059cb51d] GET /openapi.json
2026-07-12 01:12:35,089 | INFO | MamaAI | [059cb51d] 200 (11.88 ms)
2026-07-12 01:13:13,461 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:14:33,637 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:14:44,117 | INFO | MamaAI | [a2127be3] GET /
2026-07-12 01:14:44,140 | INFO | MamaAI | Home endpoint accessed
2026-07-12 01:14:44,142 | INFO | MamaAI | [a2127be3] 200 (25.12 ms)
2026-07-12 01:14:52,323 | INFO | MamaAI | [f1cc9e86] GET /docs
2026-07-12 01:14:52,325 | INFO | MamaAI | [f1cc9e86] 200 (1.0 ms)
2026-07-12 01:14:52,561 | INFO | MamaAI | [991144a0] GET /openapi.json
2026-07-12 01:14:52,570 | INFO | MamaAI | [991144a0] 200 (8.87 ms)
2026-07-12 01:15:34,280 | INFO | MamaAI | [8a93ea8e] POST /chat
2026-07-12 01:15:34,329 | INFO | MamaAI | [8a93ea8e] 200 (49.76 ms)
2026-07-12 01:15:47,039 | INFO | MamaAI | [786f2a44] POST /chat
2026-07-12 01:15:47,166 | INFO | MamaAI | [786f2a44] 200 (126.51 ms)
2026-07-12 01:16:02,175 | INFO | MamaAI | [21b1479d] POST /chat
2026-07-12 01:16:02,382 | INFO | MamaAI | [21b1479d] 200 (207.45 ms)
2026-07-12 01:21:43,948 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:21:47,058 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:21:54,598 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:22:07,139 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:22:18,863 | INFO | MamaAI | [cdb26e4d] GET /docs
2026-07-12 01:22:18,864 | INFO | MamaAI | [cdb26e4d] 200 (1.0 ms)
2026-07-12 01:22:19,002 | INFO | MamaAI | [78de0379] GET /openapi.json
2026-07-12 01:22:19,021 | INFO | MamaAI | [78de0379] 200 (18.8 ms)
2026-07-12 01:22:28,584 | INFO | MamaAI | [19e48efc] POST /chat
2026-07-12 01:22:30,257 | INFO | MamaAI | [19e48efc] 200 (1672.65 ms)
2026-07-12 01:22:42,456 | INFO | MamaAI | [febbe376] POST /chat
2026-07-12 01:22:44,433 | INFO | MamaAI | [febbe376] 200 (1976.18 ms)
2026-07-12 01:24:02,129 | INFO | MamaAI | [46e9d637] GET /
2026-07-12 01:24:02,130 | INFO | MamaAI | Home endpoint accessed
2026-07-12 01:24:02,131 | INFO | MamaAI | [46e9d637] 200 (2.02 ms)
2026-07-12 01:24:03,567 | INFO | MamaAI | [08a19316] GET /
2026-07-12 01:24:03,568 | INFO | MamaAI | Home endpoint accessed
2026-07-12 01:24:03,569 | INFO | MamaAI | [08a19316] 200 (2.1 ms)
2026-07-12 01:24:03,745 | INFO | MamaAI | [9e9ff6ff] GET /
2026-07-12 01:24:03,747 | INFO | MamaAI | Home endpoint accessed
2026-07-12 01:24:03,748 | INFO | MamaAI | [9e9ff6ff] 200 (3.52 ms)
2026-07-12 01:24:29,512 | INFO | MamaAI | [35b51c13] GET /docs
2026-07-12 01:24:29,514 | INFO | MamaAI | [35b51c13] 200 (1.56 ms)
2026-07-12 01:24:29,661 | INFO | MamaAI | [6205ea68] GET /openapi.json
2026-07-12 01:24:29,662 | INFO | MamaAI | [6205ea68] 200 (1.0 ms)
2026-07-12 01:25:03,579 | INFO | MamaAI | [cb3e6c08] POST /chat
2026-07-12 01:25:06,988 | INFO | MamaAI | [cb3e6c08] 200 (3409.01 ms)
2026-07-12 01:25:09,201 | INFO | MamaAI | [106f2a2e] POST /chat
2026-07-12 01:25:12,394 | INFO | MamaAI | [106f2a2e] 200 (3192.22 ms)
2026-07-12 01:25:27,768 | INFO | MamaAI | [1df22130] POST /chat
2026-07-12 01:25:27,803 | INFO | MamaAI | [1df22130] 200 (35.31 ms)
2026-07-12 01:26:47,795 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:26:50,784 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:27:02,117 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:27:04,984 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:27:09,358 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:27:14,611 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:27:50,996 | INFO | MamaAI | [e970feac] POST /chat
2026-07-12 01:27:51,037 | INFO | MamaAI | [e970feac] 200 (41.37 ms)
2026-07-12 01:28:16,842 | INFO | MamaAI | [d8e70391] POST /chat
2026-07-12 01:28:16,864 | INFO | MamaAI | [d8e70391] 200 (22.42 ms)
2026-07-12 01:28:46,940 | INFO | MamaAI | [067178b3] POST /chat
2026-07-12 01:28:46,967 | INFO | MamaAI | [067178b3] 200 (27.2 ms)
2026-07-12 01:30:10,984 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:31:18,193 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:31:34,029 | INFO | MamaAI | [21420cc3] POST /chat
2026-07-12 01:31:34,188 | INFO | MamaAI | [21420cc3] 200 (158.67 ms)
2026-07-12 01:32:28,737 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:55:44,323 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:55:55,777 | INFO | MamaAI | [407f9d73] GET /docs
2026-07-12 01:55:55,778 | INFO | MamaAI | [407f9d73] 200 (1.06 ms)
2026-07-12 01:55:56,024 | INFO | MamaAI | [059a4d27] GET /openapi.json
2026-07-12 01:55:56,065 | INFO | MamaAI | [059a4d27] 200 (42.95 ms)
2026-07-12 01:56:06,507 | INFO | MamaAI | [2c4d664e] POST /chat
2026-07-12 01:56:06,609 | INFO | MamaAI | [2c4d664e] 200 (101.44 ms)
2026-07-12 01:56:47,475 | INFO | MamaAI | [31de753f] POST /chat
2026-07-12 01:56:47,540 | INFO | MamaAI | [31de753f] 200 (64.84 ms)
2026-07-12 02:02:03,083 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 02:02:10,727 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 02:02:25,810 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 02:02:31,087 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 02:02:31,194 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 02:21:59,230 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 02:22:10,516 | INFO | MamaAI | [3c099f2a] GET /docs
2026-07-12 02:22:10,518 | INFO | MamaAI | [3c099f2a] 200 (2.04 ms)
2026-07-12 02:22:10,773 | INFO | MamaAI | [196dcf31] GET /openapi.json
2026-07-12 02:22:10,816 | INFO | MamaAI | [196dcf31] 200 (42.43 ms)
2026-07-12 02:22:44,899 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-21 09:50:48 | INFO | mama_ai | Mama AI logger test
2026-07-21 09:51:32 | INFO | mama_ai | ========== Mama AI Backend Started ==========
2026-07-21 09:51:36 | INFO | mama_ai | ========== Mama AI Backend Stopped ==========
2026-07-21 09:51:46 | INFO | mama_ai | ========== Mama AI Backend Started ==========
2026-07-21 09:51:53 | INFO | mama_ai | [9510e814] GET /docs
2026-07-21 09:51:53 | INFO | mama_ai | [9510e814] 200 (1.38 ms)
2026-07-21 09:51:53 | INFO | mama_ai | [53f40b75] GET /openapi.json
2026-07-21 09:51:53 | INFO | mama_ai | [53f40b75] 200 (9.27 ms)
2026-07-21 09:52:09 | INFO | mama_ai | ========== Mama AI Backend Stopped ==========
2026-07-21 10:19:13 | INFO | mama_ai | ========== Mama AI Backend Started ==========
2026-07-21 10:19:32 | INFO | mama_ai | [e41e000c] GET /
2026-07-21 10:19:32 | INFO | mama_ai | Home endpoint accessed
2026-07-21 10:19:32 | INFO | mama_ai | [e41e000c] 200 (36.3 ms)
2026-07-21 10:19:33 | INFO | mama_ai | [e707028b] GET /favicon.ico
2026-07-21 10:19:33 | INFO | mama_ai | [e707028b] 404 (2.63 ms)
2026-07-21 10:19:49 | INFO | mama_ai | ========== Mama AI Backend Stopped ==========
2026-07-21 10:28:05 | INFO | mama_ai | ========== Mama AI Backend Started ==========
